cao_number;id;ingangsdatum;expiratiedatum;datum_kennisgeving;pdf_name;page_name;main_link_url
1287;1287012;01/04/2024;31/12/2025;18/11/2024;DEF Grafimedia cao 2024-2025 schone versie v23102024.pdf;1287 - GRAFIMEDIA - 01-04-2024 - 31-12-2025 - Regulier - kvo datum - 18-11-2024;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=44882&mSelod=704751
1287;1287013;01/08/2020;31/12/2021;06/07/2021;Grafimedia cao 2020-2021 6 juli 2021, gewijzigde werkingssfeer.pdf;1287 - GRAFIMEDIA - 01-08-2020 - 31-12-2021 - Regulier - kvo datum - 06-07-2021 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22951&mSelod=704751
1287;1287014;01/08/2020;31/12/2021;20/05/2021;Grafimedia cao 2020-2021 gewijzigde werkingssfeer.pdf;1287 - GRAFIMEDIA - 01-08-2020 - 31-12-2021 - Regulier - kvo datum - 20-05-2021 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22729&mSelod=704751
1287;1287015;01/08/2020;31/12/2021;21/06/2021;Grafimedia cao 2020-2021 juni 2021.pdf;1287 - GRAFIMEDIA - 01-08-2020 - 31-12-2021 - Regulier - kvo datum - 21-06-2021 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22867&mSelod=704751
1287;1287016;01/08/2020;31/12/2021;24/02/2021;Grafimedia cao 2020-2021 - def 230221.docx.pdf;1287 - GRAFIMEDIA - 01-08-2020 - 31-12-2021 - Regulier - kvo datum - 24-02-2021;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22027&mSelod=704751
1287;1287017;01/11/2015;31/03/2018;02/02/2016;Grafimedia_cao_2015_2018_def_incl_stat_regl.pdf;1287 - GRAFIMEDIA - 01-11-2015 - 31-03-2018 - Regulier - kvo datum - 02-02-2016;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9123&mSelod=704751
1287;1287018;01/11/2015;31/03/2018;28/06/2016;Grafimedia_cao_na_ttw_2015_2018_18122015_def.pdf;1287 - GRAFIMEDIA - 01-11-2015 - 31-03-2018 - Regulier - kvo datum - 28-06-2016 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=9124&mSelod=704751
405;405001;01/07/2010;30/06/2011;09/12/2010;tekst CAO Kappers 2010-2011.pdf;405 - KAPPERSBEDRIJF - 01-07-2010 - 30-06-2011 - Regulier - kvo datum - 09-12-2010;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=7884&mSelod=704753
405;405002;01/07/2014;30/06/2016;05/08/2014;Tekst_cao_kappers_compleet.pdf;405 - KAPPERSBEDRIJF - 01-07-2014 - 30-06-2016 - Regulier - kvo datum - 05-08-2014;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=7885&mSelod=704753
405;405003;01/07/2017;30/06/2019;04/06/2018;CAO_Kappers_1_juli_2017_30_juni_2019__3105_.pdf;405 - KAPPERSBEDRIJF - 01-07-2017 - 30-06-2019 - Regulier - kvo datum - 04-06-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=7888&mSelod=704753
405;405004;01/07/2017;30/06/2019;22/05/2018;CAO_Kappers_1_juli_2017_30_juni_2019.pdf;405 - KAPPERSBEDRIJF - 01-07-2017 - 30-06-2019 - Regulier - kvo datum - 22-05-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=7887&mSelod=704753
405;405005;01/07/2017;30/06/2019;24/04/2018;CAO_Kappers_1_juli_2017_30_juni_2019_1.pdf;405 - KAPPERSBEDRIJF - 01-07-2017 - 30-06-2019 - Regulier - kvo datum - 24-04-2018;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=7886&mSelod=704753
405;405006;01/07/2019;31/01/2020;10/10/2019;CAO Kappers 1 juli 2019 31 januari 2020 renvooi 07102019.docx.pdf;405 - KAPPERSBEDRIJF - 01-07-2019 - 31-01-2020 - Regulier - kvo datum - 10-10-2019 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=15025&mSelod=704753
405;405007;01/07/2019;31/01/2020;26/07/2019;CAO Kappers 1 juli 2019 31 januari 2020 25072019.docx.pdf;405 - KAPPERSBEDRIJF - 01-07-2019 - 31-01-2020 - Regulier - kvo datum - 26-07-2019;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=14667&mSelod=704753
405;405008;01/07/2022;30/06/2023;19/07/2022;CAOKAP~1.pdf;405 - KAPPERSBEDRIJF - 01-07-2022 - 30-06-2023 - Regulier - kvo datum - 19-07-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=30600&mSelod=704753
405;405009;01/07/2022;30/06/2023;31/05/2022;CAO Kappers 1 juli 2022 30 juni 2023 schoon.pdf;405 - KAPPERSBEDRIJF - 01-07-2022 - 30-06-2023 - Regulier - kvo datum - 31-05-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=29983&mSelod=704753
405;405010;01/07/2023;30/06/2024;16/05/2023;CAO Kappers 1 juli 2023 30 juni 2024 geheel def.pdf;405 - KAPPERSBEDRIJF - 01-07-2023 - 30-06-2024 - Regulier - kvo datum - 16-05-2023;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=37061&mSelod=704753
